                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7879,                 3.4587,                 1.5343,                0.00802,                0.42105,                0.01515,                0.00839,                 1.1817,                 3.4556,                 1.1241,                0.00018,                0.00018,                0.00018
                      1,                 1.4784,                 2.3408,                 1.2571,                0.00902,                      1,                0.45471,                0.29216,                 1.0637,                 2.7891,                0.96379,             0.00037624,             0.00037624,             0.00037624
                      2,                 1.3363,                 1.2867,                 1.1914,                0.76652,                0.69151,                0.76599,                0.48776,                 1.1848,                 1.9883,                 1.0049,             0.00056852,             0.00056852,             0.00056852
                      3,                 1.3853,                 1.1902,                 1.1507,                0.89901,                0.46901,                0.85642,                0.58319,                 1.0392,                 2.0548,                0.95218,             0.00075683,             0.00075683,             0.00075683
                      4,                 1.4126,                 1.1905,                 1.1761,                0.92846,                0.84211,                0.90076,                0.55366,                   1.24,                 1.1362,                 1.1827,             0.00094119,             0.00094119,             0.00094119
                      5,                 1.4064,                 1.1796,                 1.1621,                0.92905,                0.63158,                0.80222,                0.39321,                 1.6495,                 1.5838,                 1.3472,              0.0011216,              0.0011216,              0.0011216
                      6,                  1.344,                 1.1169,                  1.151,                0.79188,                0.89474,                  0.892,                0.63248,                 1.1115,                 1.3553,                 1.0302,               0.001298,               0.001298,               0.001298
                      7,                 1.3625,                 1.1482,                 1.1689,                 0.8211,                0.72525,                0.76781,                 0.4824,                 1.2384,                 1.5574,                 1.1034,              0.0014705,              0.0014705,              0.0014705
                      8,                 1.3393,                 1.0912,                 1.2167,                0.99855,                0.89474,                0.94452,                0.68752,                 1.1469,                0.93883,                 1.0481,               0.001639,               0.001639,               0.001639
                      9,                 1.2652,                0.98825,                 1.1324,                0.88661,                0.82372,                0.89508,                0.59218,                 1.2052,                 1.0871,                 1.0452,              0.0018036,              0.0018036,              0.0018036
                     10,                 1.3291,                0.99079,                 1.1619,                0.93006,                0.84211,                0.89072,                0.63343,                 1.1595,                0.92191,                 1.0681,               0.001802,               0.001802,               0.001802
