                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.2068,                 3.9163,                 4.4568,                0.00174,                0.05263,                0.00116,                0.00012,                 5.1774,                 4.1802,                  4.162,                0.00018,                0.00018,                0.00018
                      1,                 5.5598,                 3.7388,                 4.2307,                0.00174,                0.05263,                0.00116,                0.00012,                 5.1792,                  4.193,                 4.1651,             0.00037624,             0.00037624,             0.00037624
                      2,                 4.7956,                 3.2579,                 4.1422,                0.00345,                0.10526,                0.00256,                0.00026,                 5.1813,                 4.2053,                 4.1689,             0.00056852,             0.00056852,             0.00056852
                      3,                 4.4817,                 3.1006,                 3.8189,                0.00162,                0.05263,                0.00101,                 0.0002,                 5.1907,                 4.2153,                 4.1795,             0.00075683,             0.00075683,             0.00075683
                      4,                 3.8346,                 2.5103,                 3.5472,                0.00168,                0.05263,                0.00107,                0.00021,                 5.2261,                 4.2279,                 4.2135,             0.00094119,             0.00094119,             0.00094119
                      5,                 3.5639,                 2.4244,                 3.1399,                0.00166,                0.05263,                0.00109,                0.00022,                 5.3241,                 4.3436,                  4.292,              0.0011216,              0.0011216,              0.0011216
                      6,                 3.2913,                 2.1423,                 2.9866,                0.00161,                0.05263,                0.00104,                0.00021,                 5.3822,                 4.3951,                 4.3359,               0.001298,               0.001298,               0.001298
                      7,                 3.1326,                 1.9982,                 2.8731,                0.00292,                0.05263,                0.00169,                0.00034,                 5.3452,                 4.4384,                 4.3199,              0.0014705,              0.0014705,              0.0014705
                      8,                 2.9751,                 1.8557,                  2.629,                0.00309,                0.05263,                0.00176,                0.00035,                 5.4972,                 4.6029,                  4.483,               0.001639,               0.001639,               0.001639
