                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 5.2252,                 3.6792,                 4.2861,                0.00057,                0.01961,                 0.0003,                  3e-05,                  5.631,                 4.4179,                 4.1712,                0.00048,                0.00048,                0.00048
                      1,                 4.0045,                 2.7458,                  3.653,                0.00055,                0.01961,                 0.0003,                  6e-05,                 5.6758,                 4.4005,                 4.2343,             0.00097677,             0.00097677,             0.00097677
                      2,                 3.2162,                 2.0432,                 2.9032,                0.00056,                0.01961,                 0.0003,                  6e-05,                 5.7972,                 4.7129,                 4.4049,              0.0014702,              0.0014702,              0.0014702
                      3,                 2.8009,                 1.8397,                  2.471,                0.00403,                0.13725,                0.08052,                0.03001,                 4.8167,                 3.7453,                 3.7904,              0.0019604,              0.0019604,              0.0019604
                      4,                 2.4852,                 1.6146,                 2.2658,                 0.5977,                0.47059,                0.53499,                0.22093,                 2.4581,                 1.7098,                 2.2169,              0.0019736,              0.0019736,              0.0019736
                      5,                 2.4279,                   1.51,                  2.044,                0.97846,                0.27451,                0.39702,                0.18052,                 2.7484,                 1.8529,                 2.1447,              0.0019736,              0.0019736,              0.0019736
                      6,                 2.2864,                 1.4835,                 1.9459,                0.58033,                0.52941,                0.53099,                0.28197,                 2.0194,                 1.5038,                  1.798,               0.001967,               0.001967,               0.001967
                      7,                 2.2533,                 1.5071,                  1.927,                0.51221,                0.63835,                0.62148,                0.30041,                  2.018,                 1.4278,                 1.7224,              0.0019604,              0.0019604,              0.0019604
                      8,                 2.0781,                 1.3354,                 1.7548,                0.24184,                0.37255,                0.23182,                0.09882,                 2.6328,                 2.0031,                 2.0793,              0.0019538,              0.0019538,              0.0019538
                      9,                 2.0626,                 1.3541,                 1.7508,                0.51457,                0.68627,                0.56921,                0.23274,                 2.1166,                 1.4663,                 1.7713,              0.0019472,              0.0019472,              0.0019472
                     10,                 2.1083,                  1.375,                  1.771,                0.75928,                0.61859,                  0.702,                0.22125,                 2.4363,                 1.4412,                 1.8743,              0.0019406,              0.0019406,              0.0019406
                     11,                  2.034,                 1.3864,                 1.6912,                0.64124,                0.49067,                0.54882,                0.15881,                 2.5391,                 2.0388,                 1.9203,               0.001934,               0.001934,               0.001934
                     12,                 1.9291,                 1.2811,                 1.6421,                0.86784,                0.77262,                0.85676,                0.46565,                 1.7179,                 1.0743,                 1.4857,              0.0019274,              0.0019274,              0.0019274
                     13,                 1.9079,                 1.2235,                 1.6039,                0.81849,                0.72549,                0.80868,                0.44585,                 1.6327,                 1.2719,                 1.4678,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.8171,                   1.19,                  1.554,                0.90558,                0.66667,                0.80872,                0.50037,                 1.5228,                 1.0327,                 1.4175,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.8216,                 1.1867,                 1.5314,                0.79658,                0.61438,                0.70916,                0.23446,                 2.1778,                  1.403,                 1.6151,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.7484,                 1.1339,                 1.4933,                0.57975,                0.23529,                0.27382,                  0.048,                 3.1175,                 3.1572,                 2.2511,               0.001901,               0.001901,               0.001901
                     17,                 1.8219,                 1.2225,                 1.5573,                0.86322,                0.72549,                 0.8063,                0.51134,                 1.3899,                0.94666,                 1.3701,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.7358,                 1.1016,                 1.4405,                0.88094,                0.72538,                0.82468,                0.53372,                 1.3658,                 1.0007,                 1.2983,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.7954,                 1.1443,                  1.535,                 0.9743,                0.74345,                0.87819,                0.39715,                 1.8061,                 1.1512,                 1.4491,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.7426,                 1.1638,                  1.517,                0.45942,                0.54902,                0.52906,                0.27715,                  1.832,                 2.0809,                 1.4796,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.7005,                 1.1246,                 1.4638,                0.91925,                0.72549,                0.82638,                 0.5074,                 1.4482,                0.93819,                 1.3289,               0.001868,               0.001868,               0.001868
                     22,                 1.6683,                 1.0659,                 1.4389,                 0.4904,                0.45098,                0.45563,                0.17125,                 2.3174,                 2.1427,                 1.7613,              0.0018614,              0.0018614,              0.0018614
                     23,                  1.703,                 1.0789,                 1.4542,                0.97718,                0.83953,                0.89333,                0.58191,                 1.2223,                0.84917,                 1.2671,              0.0018548,              0.0018548,              0.0018548
                     24,                 1.6229,                 1.1386,                 1.4604,                0.83697,                0.82353,                0.86717,                0.53877,                 1.5101,                0.90334,                 1.3235,              0.0018482,              0.0018482,              0.0018482
                     25,                 1.5754,                 1.0232,                 1.4019,                0.61791,                0.05882,                0.05693,                0.04234,                 3.2289,                 5.3828,                 2.8316,              0.0018416,              0.0018416,              0.0018416
                     26,                 1.6379,                 1.1015,                 1.4233,                0.95305,                0.80392,                0.87791,                0.61981,                 1.0885,                0.80499,                 1.1904,               0.001835,               0.001835,               0.001835
                     27,                 1.6189,                 1.1175,                 1.4233,                0.95576,                0.84314,                0.93307,                0.66119,                 1.0862,                0.83111,                 1.2139,              0.0018284,              0.0018284,              0.0018284
                     28,                 1.5611,                 1.0293,                 1.3861,                0.72711,                0.33333,                0.40025,                0.24703,                   1.97,                 1.8151,                 1.6307,              0.0018218,              0.0018218,              0.0018218
                     29,                 1.5367,                 1.0481,                 1.3862,                 0.6193,                0.58824,                0.51396,                0.27104,                 2.1348,                 1.3839,                 1.6682,              0.0018152,              0.0018152,              0.0018152
                     30,                 1.5273,                 1.0335,                 1.3742,                 0.9384,                0.89617,                0.90998,                 0.6559,                 1.0737,                0.70593,                 1.1505,              0.0018086,              0.0018086,              0.0018086
                     31,                 1.5048,                 1.0137,                 1.3526,                0.97785,                0.88235,                0.93864,                0.67568,                0.99423,                0.77751,                 1.0955,               0.001802,               0.001802,               0.001802
                     32,                 1.5819,                 1.0411,                 1.3894,                0.68353,                0.39216,                0.44018,                0.27788,                 1.7975,                 1.6294,                 1.6168,              0.0017954,              0.0017954,              0.0017954
                     33,                 1.4612,                  0.974,                 1.3422,                0.95605,                 0.8532,                0.90952,                0.61661,                 1.1003,                0.78425,                 1.1398,              0.0017888,              0.0017888,              0.0017888
                     34,                  1.494,                0.99365,                 1.3678,                0.97819,                0.87935,                0.94884,                 0.6877,                 1.0215,                0.69527,                 1.1036,              0.0017822,              0.0017822,              0.0017822
                     35,                 1.4551,                0.95084,                 1.3259,                0.93615,                0.86242,                0.95929,                0.64956,                 1.1015,                0.76681,                 1.1345,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.4547,                0.95466,                 1.3332,                0.97717,                0.83935,                0.95326,                0.65166,                 1.0403,                0.76615,                 1.1109,               0.001769,               0.001769,               0.001769
                     37,                 1.4711,                0.95981,                 1.3637,                0.97758,                0.86275,                 0.9399,                0.65319,                 1.1678,                 0.7294,                 1.1464,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.5055,                0.97328,                 1.3895,                0.85519,                0.86275,                0.91038,                0.65058,                 1.0471,                0.94918,                 1.1239,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.4204,                0.95857,                 1.2869,                0.92236,                0.88235,                0.90485,                0.65652,                 1.0775,                0.75381,                 1.1329,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.3885,                0.92792,                 1.2957,                      1,                0.87896,                0.92069,                0.68398,                 1.0373,                0.68224,                 1.1091,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.4609,                0.92053,                 1.3091,                0.91242,                0.81724,                0.86808,                0.52936,                 1.2934,                0.96668,                 1.1827,               0.001736,               0.001736,               0.001736
                     42,                 1.4356,                0.94549,                 1.3068,                0.93161,                 0.8014,                0.90648,                0.65479,                 1.1046,                0.79332,                 1.1305,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.3676,                 0.8997,                 1.2769,                0.91155,                0.92157,                0.94373,                0.66441,                 1.0016,                0.72992,                 1.0921,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.3959,                0.87588,                 1.2866,                0.94746,                0.90196,                0.93548,                0.59244,                 1.2718,                0.77119,                 1.1586,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.4017,                0.95238,                 1.3114,                0.97723,                0.84156,                0.91943,                0.65535,                 1.0475,                0.71314,                 1.1111,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.3798,                0.90346,                 1.2967,                0.91425,                0.88235,                0.92819,                 0.6858,                0.98537,                0.73188,                 1.0814,               0.001703,               0.001703,               0.001703
                     47,                 1.3231,                 0.9269,                 1.2957,                0.86775,                0.60784,                0.70026,                0.47192,                  1.324,                 1.2424,                 1.2363,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.4009,                0.89365,                 1.2839,                0.77749,                0.56863,                0.69783,                0.47624,                 1.3343,                 1.3775,                 1.3052,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.3403,                0.89237,                 1.2666,                0.97195,                0.86275,                0.91667,                0.71286,                0.96467,                0.70422,                 1.0796,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.3414,                0.87507,                 1.2568,                0.98501,                0.88235,                0.94671,                0.68844,                 1.0813,                0.68251,                 1.0912,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.3363,                0.86984,                 1.2834,                0.95833,                 0.9019,                 0.9262,                0.68129,                0.95338,                 0.6294,                 1.0901,                0.00167,                0.00167,                0.00167
                     52,                 1.2984,                0.86869,                 1.2362,                0.97274,                0.86275,                0.96156,                0.72549,                0.96397,                0.72142,                 1.0731,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.2825,                0.84592,                 1.2376,                      1,                 0.8577,                0.94825,                0.72624,                 0.8772,                0.60844,                 1.0418,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.3232,                0.84421,                 1.2542,                0.93688,                0.88235,                0.91272,                0.67211,                0.95621,                0.66107,                 1.0778,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.3884,                 0.9191,                 1.2895,                0.98842,                0.86275,                0.95888,                 0.7337,                0.88193,                0.68467,                 1.0385,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.3234,                 0.8771,                 1.2724,                      1,                0.81794,                0.93369,                0.71408,                0.96369,                0.82193,                 1.0486,               0.001637,               0.001637,               0.001637
                     57,                 1.2919,                0.84402,                 1.2661,                0.78917,                0.44054,                0.51986,                0.34607,                 1.4854,                 1.5792,                 1.3482,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.2446,                0.79379,                 1.2152,                0.95824,                0.89981,                0.92228,                0.68189,                0.96984,                 0.6179,                 1.0704,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.3124,                0.83558,                 1.2531,                0.80896,                0.70588,                0.73628,                 0.4892,                 1.2616,                 1.2056,                 1.2139,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.2748,                0.80646,                 1.2369,                0.97174,                0.86275,                0.96167,                0.70209,                0.98877,                0.69787,                 1.0517,              0.0016106,              0.0016106,              0.0016106
                     61,                   1.28,                0.80794,                 1.2319,                0.97627,                0.88235,                0.90929,                0.67639,                0.96325,                0.65453,                 1.0897,               0.001604,               0.001604,               0.001604
                     62,                 1.2675,                0.78993,                 1.2461,                0.97323,                0.90196,                0.96104,                0.73694,                0.89762,                 0.6078,                 1.0381,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.2953,                0.80493,                 1.2525,                0.99068,                0.86275,                 0.9478,                0.67375,                  1.057,                0.69105,                 1.0698,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.3817,                0.87779,                 1.2817,                0.87627,                0.78431,                0.85888,                0.50467,                 1.4814,                 1.0421,                 1.2092,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.3278,                0.84971,                 1.2699,                0.95811,                0.89695,                0.91052,                0.71823,                0.87798,                0.58613,                 1.0548,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.2838,                0.80057,                 1.2361,                0.97862,                0.89756,                0.96018,                0.71081,                0.90152,                0.60671,                 1.0161,               0.001571,               0.001571,               0.001571
                     67,                 1.2672,                0.81774,                 1.2076,                0.95621,                 0.8565,                0.95588,                0.72792,                0.97119,                0.77661,                 1.0186,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.2152,                0.81172,                 1.2249,                0.95815,                0.89788,                0.95602,                0.74783,                0.84876,                0.60389,                 1.0119,              0.0015578,              0.0015578,              0.0015578
                     69,                  1.214,                 0.7885,                 1.2069,                0.97839,                0.90196,                0.97466,                0.76537,                0.83124,                0.62064,                  1.009,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.2611,                0.80122,                 1.2501,                0.97817,                0.87853,                0.95583,                0.69688,                0.94692,                0.68304,                  1.047,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.2838,                0.82687,                 1.2398,                0.95563,                0.92157,                0.95544,                0.75374,                0.91258,                0.68506,                 1.0177,               0.001538,               0.001538,               0.001538
                     72,                 1.2068,                 0.7859,                 1.2001,                      1,                0.83603,                0.96333,                0.71704,                0.94018,                0.64454,                 1.0213,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.1886,                0.76867,                 1.1961,                0.97298,                0.88235,                0.94638,                0.71887,                0.92645,                0.58794,                 1.0301,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.2105,                0.81377,                 1.2149,                0.95741,                 0.8815,                0.93784,                0.72842,                0.83468,                0.68193,                 1.0213,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.1946,                0.75726,                 1.1844,                0.91893,                0.86275,                0.92297,                0.63442,                 1.1256,                0.98015,                  1.068,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.2005,                0.79472,                 1.2063,                0.99754,                0.86275,                0.92906,                0.75618,                0.80123,                0.55575,                 1.0039,               0.001505,               0.001505,               0.001505
                     77,                 1.1479,                0.74543,                 1.1943,                0.90672,                0.95309,                0.96036,                0.65274,                 1.1119,                0.67827,                 1.0996,              0.0014984,              0.0014984,              0.0014984
                     78,                 1.2354,                0.79014,                 1.1872,                0.95987,                0.93808,                0.97297,                0.75616,                0.83469,                0.58613,                 1.0045,              0.0014918,              0.0014918,              0.0014918
                     79,                 1.1786,                0.76833,                  1.203,                0.97915,                0.92077,                0.96855,                0.75832,                0.82364,                0.56386,                 1.0068,              0.0014852,              0.0014852,              0.0014852
                     80,                 1.1671,                0.75625,                  1.183,                0.92236,                0.93181,                0.97413,                0.74855,                0.85174,                0.57229,                 1.0085,              0.0014786,              0.0014786,              0.0014786
                     81,                 1.1373,                0.71603,                 1.1607,                0.97938,                0.93152,                0.96579,                0.77628,                0.84072,                0.55646,                 1.0132,               0.001472,               0.001472,               0.001472
                     82,                  1.176,                0.74676,                 1.1955,                0.95949,                0.92885,                0.96122,                0.75069,                0.84878,                0.59208,                 1.0177,              0.0014654,              0.0014654,              0.0014654
                     83,                 1.1321,                0.72658,                 1.1672,                0.95866,                0.94118,                0.96632,                0.66017,                 1.1464,                 0.6781,                 1.1021,              0.0014588,              0.0014588,              0.0014588
                     84,                 1.1523,                0.71027,                 1.1658,                0.99119,                0.92157,                0.97227,                0.79735,                0.76777,                0.52386,                 0.9961,              0.0014522,              0.0014522,              0.0014522
                     85,                 1.1767,                0.73241,                 1.2127,                0.97871,                 0.9013,                0.97525,                0.75432,                0.87441,                0.58655,                 1.0155,              0.0014456,              0.0014456,              0.0014456
                     86,                 1.1429,                0.74439,                 1.1851,                0.95994,                0.90196,                0.96894,                0.77517,                 0.7908,                0.55605,                0.98214,               0.001439,               0.001439,               0.001439
                     87,                 1.1569,                0.72996,                 1.1637,                0.89451,                0.92157,                0.95596,                0.63143,                 1.2324,                0.76058,                 1.0996,              0.0014324,              0.0014324,              0.0014324
                     88,                 1.1515,                0.74009,                 1.2002,                      1,                0.89864,                0.95586,                0.76315,                0.83953,                0.55198,                 1.0147,              0.0014258,              0.0014258,              0.0014258
                     89,                 1.1766,                0.72112,                 1.2062,                0.97304,                0.92157,                0.97229,                 0.7854,                0.79661,                0.55497,                0.99021,              0.0014192,              0.0014192,              0.0014192
                     90,                 1.1373,                0.72182,                 1.1734,                0.97952,                  0.938,                0.97615,                0.72719,                0.93905,                0.62997,                 1.0182,              0.0014126,              0.0014126,              0.0014126
                     91,                 1.1238,                0.71168,                 1.1416,                0.95783,                0.89083,                0.96691,                0.76955,                0.81425,                0.60074,                0.99355,               0.001406,               0.001406,               0.001406
                     92,                 1.1636,                0.71336,                 1.1985,                0.97629,                0.88235,                0.94203,                0.72792,                0.88537,                 0.5845,                 1.0227,              0.0013994,              0.0013994,              0.0013994
                     93,                 1.1267,                0.72997,                 1.1594,                0.94074,                 0.9339,                0.96438,                0.75526,                0.84101,                0.60489,                0.98783,              0.0013928,              0.0013928,              0.0013928
                     94,                 1.0972,                0.68605,                 1.1547,                      1,                0.91879,                0.96745,                0.77157,                0.83162,                 0.5478,                0.99161,              0.0013862,              0.0013862,              0.0013862
                     95,                  1.152,                0.70168,                 1.1764,                0.94043,                0.92869,                0.96965,                0.77137,                0.82345,                0.60846,                0.98204,              0.0013796,              0.0013796,              0.0013796
                     96,                 1.1553,                0.72404,                 1.1782,                0.97339,                0.92157,                0.98054,                0.80295,                0.73885,                0.53873,                0.96539,               0.001373,               0.001373,               0.001373
                     97,                 1.1077,                0.67967,                 1.1609,                0.99691,                0.88235,                0.95625,                 0.7589,                0.79586,                0.55779,                0.98284,              0.0013664,              0.0013664,              0.0013664
                     98,                 1.1296,                  0.691,                 1.1464,                0.92026,                0.90196,                0.96174,                0.75535,                0.89361,                0.68535,                0.98971,              0.0013598,              0.0013598,              0.0013598
                     99,                 1.1357,                 0.7035,                 1.1688,                      1,                0.91985,                0.97444,                0.78516,                0.75699,                0.53854,                0.97988,              0.0013532,              0.0013532,              0.0013532
                    100,                  1.109,                0.69631,                 1.1744,                0.95978,                  0.936,                0.96602,                0.75103,                0.84972,                0.58205,                0.99259,              0.0013466,              0.0013466,              0.0013466
                    101,                 1.0982,                0.70594,                 1.1627,                0.99411,                0.90196,                0.96758,                0.79802,                0.75864,                0.53843,                0.97753,                0.00134,                0.00134,                0.00134
                    102,                 1.0765,                0.68873,                 1.1645,                 0.9752,                0.88235,                 0.9589,                0.77936,                0.76351,                0.59945,                 0.9991,              0.0013334,              0.0013334,              0.0013334
