                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5163,                 3.8291,                 4.4872,                0.00172,                0.05263,                0.00115,                0.00012,                 5.1772,                 4.1813,                 4.1625,                0.00018,                0.00018,                0.00018
                      1,                  4.453,                 3.3563,                 4.2952,                0.00172,                0.05263,                0.00115,                0.00012,                 5.1787,                 4.1973,                  4.168,             0.00036119,             0.00036119,             0.00036119
                      2,                 4.3634,                 3.0487,                 4.1172,                0.00168,                0.05263,                0.00099,                 0.0001,                 5.1835,                 4.2128,                 4.1777,             0.00052258,             0.00052258,             0.00052258
                      3,                 3.6454,                 2.6656,                 3.9194,                0.00158,                0.05263,                0.00097,                0.00019,                 5.1863,                  4.215,                 4.1906,             0.00066417,             0.00066417,             0.00066417
                      4,                 3.6446,                 2.5969,                  3.542,                0.00163,                0.05263,                0.00099,                 0.0002,                 5.2008,                 4.2305,                 4.2241,             0.00078596,             0.00078596,             0.00078596
                      5,                 3.2055,                 2.6087,                  3.387,                 0.0016,                0.05263,                0.00101,                 0.0002,                 5.1733,                 4.0522,                 4.1973,             0.00088795,             0.00088795,             0.00088795
                      6,                 3.0361,                 2.2531,                 3.1399,                0.00198,                0.05263,                0.00119,                0.00024,                 5.1793,                 4.0607,                 4.2195,             0.00097014,             0.00097014,             0.00097014
                      7,                 2.7665,                  2.063,                 2.8819,                0.00151,                0.10526,                0.00126,                0.00046,                 4.8204,                 3.5943,                 3.8579,              0.0010325,              0.0010325,              0.0010325
                      8,                 2.6664,                 1.9083,                 2.8031,                0.00153,                0.10526,                0.00103,                0.00049,                 4.4611,                 3.4903,                 3.6502,              0.0010751,              0.0010751,              0.0010751
                      9,                 2.4028,                  1.757,                 2.7136,                0.00172,                0.05263,                0.00104,                0.00021,                 5.0621,                 4.2769,                 4.1687,              0.0010979,              0.0010979,              0.0010979
                     10,                 2.3609,                  1.601,                 2.4678,                0.00195,                0.05263,                0.00121,                0.00024,                 5.2524,                  4.527,                 4.3725,                0.00101,                0.00101,                0.00101
                     11,                  2.361,                 1.6809,                 2.4451,                0.38082,                0.22758,                0.21858,                0.05563,                 3.2438,                 2.4421,                 2.8487,                0.00101,                0.00101,                0.00101
                     12,                 2.2685,                 1.6074,                 2.4014,                0.71004,                0.31579,                0.38268,                0.10631,                 2.8411,                 1.9394,                 2.4157,               0.000911,               0.000911,               0.000911
                     13,                  2.236,                 1.6659,                 2.4236,                0.53156,                0.53796,                0.58271,                0.20234,                 2.5799,                 1.6311,                 2.2099,               0.000812,               0.000812,               0.000812
                     14,                 2.1039,                 1.5379,                 2.2573,                0.59802,                0.63158,                0.55886,                0.25582,                 2.4447,                 1.6441,                 2.1637,               0.000713,               0.000713,               0.000713
                     15,                  2.052,                 1.5052,                 2.2272,                0.53006,                0.65355,                0.53944,                 0.2088,                 2.5178,                 1.5333,                 2.1415,               0.000614,               0.000614,               0.000614
                     16,                 2.0658,                 1.4516,                 2.1381,                0.74218,                0.60688,                0.64099,                0.22271,                 2.4978,                  1.448,                 2.1242,               0.000515,               0.000515,               0.000515
                     17,                 2.1295,                 1.4072,                  2.155,                0.74432,                0.73684,                 0.6824,                0.28702,                 2.3105,                   1.37,                 2.0951,               0.000416,               0.000416,               0.000416
                     18,                 2.0513,                 1.4438,                 2.1304,                0.87378,                0.73684,                0.68401,                 0.2956,                 2.2911,                 1.3834,                 2.0928,               0.000317,               0.000317,               0.000317
                     19,                 2.0355,                 1.4865,                 2.1805,                0.85966,                0.73684,                0.74258,                0.32603,                 2.2107,                 1.3905,                 2.0383,               0.000218,               0.000218,               0.000218
