                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.8195,                 1.2103,                 1.5858,                0.99448,                0.84211,                0.87644,                0.48516,                 1.6964,                 1.1135,                 1.5066,              0.0017822,              0.0017822,              0.0017822
                     35,                 2.0036,                 1.2464,                 1.6563,                0.78559,                0.77199,                0.81434,                0.49781,                 1.6106,                 1.0673,                 1.4671,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.9429,                 1.2085,                 1.5871,                0.85846,                0.78947,                0.85891,                0.46823,                 1.7707,                 1.1083,                 1.5082,               0.001769,               0.001769,               0.001769
                     37,                 1.8693,                  1.176,                 1.6062,                0.88261,                0.79153,                0.86866,                0.47356,                  1.815,                 1.0578,                 1.5143,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.8141,                 1.1559,                 1.5295,                0.93303,                0.73346,                0.81596,                0.54113,                 1.4011,                 1.0394,                 1.4273,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.7976,                 1.2094,                 1.5542,                0.90522,                0.73684,                0.86054,                0.53478,                 1.6049,                 1.1647,                 1.4977,              0.0017492,              0.0017492,              0.0017492
                     40,                 1.8557,                 1.1359,                 1.5326,                      1,                0.15738,                0.16482,                0.10182,                 2.8776,                 3.4049,                  2.257,              0.0017426,              0.0017426,              0.0017426
                     41,                 1.8931,                 1.2072,                 1.5925,                0.93092,                0.73684,                0.80647,                0.40703,                 1.9219,                 1.1493,                 1.5682,               0.001736,               0.001736,               0.001736
                     42,                 1.8793,                 1.2096,                 1.5442,                      1,                0.67668,                0.80857,                0.44622,                 1.6103,                0.99063,                 1.4559,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.7772,                 1.1396,                 1.4949,                0.97085,                0.68421,                 0.8272,                0.44445,                  1.794,                 1.0434,                 1.5118,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.8259,                 1.1376,                 1.5002,                0.93735,                0.68421,                0.82612,                0.35936,                 2.0636,                 1.1818,                  1.587,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.7593,                 1.1272,                 1.4577,                0.57613,                0.15789,                0.16921,                0.09594,                 2.5947,                 2.4327,                 2.2264,              0.0017096,              0.0017096,              0.0017096
                     46,                 1.8549,                 1.2418,                 1.5764,                 0.8577,                0.73684,                0.81849,                0.52009,                 1.4945,                 1.0754,                 1.4279,               0.001703,               0.001703,               0.001703
                     47,                 1.8392,                  1.173,                 1.5542,                0.93276,                0.73055,                0.79645,                0.48571,                 1.6182,                 1.1172,                 1.4751,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.7864,                 1.1412,                 1.5502,                0.97147,                0.68421,                0.83246,                0.53448,                 1.4646,                 1.0527,                 1.4236,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.7542,                 1.1485,                 1.5118,                0.91078,                0.84211,                0.89233,                0.44309,                 1.7961,                 1.2781,                 1.5021,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.7382,                 1.1194,                 1.4463,                0.99821,                0.84211,                0.89208,                0.37551,                  2.117,                 1.2389,                 1.6266,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.7797,                 1.1041,                 1.4769,                0.88853,                0.83918,                0.89671,                0.53581,                 1.3555,                 0.9906,                 1.3813,                0.00167,                0.00167,                0.00167
                     52,                 1.7226,                 1.1549,                 1.5278,                0.94705,                0.78947,                0.90446,                0.52833,                 1.4877,                0.94588,                 1.4014,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.7205,                 1.1019,                 1.4857,                      1,                0.78654,                 0.9185,                0.54763,                 1.5018,                0.88721,                 1.3449,              0.0016568,              0.0016568,              0.0016568
                     54,                 1.6057,                 1.0946,                 1.4129,                0.94777,                0.36842,                0.43584,                0.20376,                 2.6087,                 1.7814,                 1.7972,              0.0016502,              0.0016502,              0.0016502
                     55,                 1.5958,                   1.03,                 1.3766,                0.79627,                0.82345,                0.87172,                  0.486,                 1.5415,                 1.0305,                 1.3693,              0.0016436,              0.0016436,              0.0016436
                     56,                 1.6405,                 1.0444,                 1.3901,                0.97057,                0.78947,                 0.9142,                0.60064,                 1.3554,                0.87384,                 1.3194,               0.001637,               0.001637,               0.001637
                     57,                 1.6775,                 1.0198,                 1.4222,                0.99458,                0.84211,                0.91476,                0.57263,                 1.4159,                0.84131,                 1.3218,              0.0016304,              0.0016304,              0.0016304
                     58,                 1.5793,                 1.0248,                 1.3868,                0.89336,                0.88238,                0.91775,                0.63944,                 1.2403,                 0.8027,                 1.2499,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.6248,                 1.0674,                 1.4157,                0.98062,                0.73684,                0.87595,                0.55166,                  1.512,                0.95355,                 1.3538,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.6593,                 1.0836,                 1.4126,                0.94092,                0.83849,                0.89987,                0.55677,                 1.4984,                 1.0239,                 1.3563,              0.0016106,              0.0016106,              0.0016106
                     61,                  1.631,                 1.0684,                 1.4519,                 0.9368,                0.78068,                0.88549,                0.53639,                 1.5346,                0.95383,                 1.3984,               0.001604,               0.001604,               0.001604
                     62,                 1.6297,                0.98126,                 1.4361,                0.98707,                0.73684,                0.82968,                0.54267,                 1.4952,                0.92153,                 1.3309,              0.0015974,              0.0015974,              0.0015974
                     63,                 1.6302,                 1.0153,                 1.4192,                0.92971,                0.84211,                 0.8474,                0.65051,                 1.1769,                0.82703,                 1.2792,              0.0015908,              0.0015908,              0.0015908
                     64,                 1.5324,                 1.0313,                 1.3779,                0.98037,                0.73684,                0.83509,                0.63155,                  1.201,                0.86231,                 1.2632,              0.0015842,              0.0015842,              0.0015842
                     65,                 1.6595,                0.98437,                 1.3934,                0.96405,                0.73684,                 0.8512,                0.62359,                 1.2117,                0.87815,                 1.2481,              0.0015776,              0.0015776,              0.0015776
                     66,                 1.5806,                0.98927,                 1.3852,                0.93722,                0.78599,                0.86444,                0.60445,                 1.2968,                0.91196,                 1.2748,               0.001571,               0.001571,               0.001571
                     67,                 1.6073,                 1.0536,                 1.4919,                      1,                0.78218,                0.87306,                0.47104,                 1.7925,                 1.0375,                 1.4289,              0.0015644,              0.0015644,              0.0015644
                     68,                 1.6211,                 1.0573,                 1.4047,                0.99942,                0.73684,                0.81056,                0.59189,                 1.1287,                0.93715,                  1.224,              0.0015578,              0.0015578,              0.0015578
                     69,                 1.6084,                 1.1233,                 1.4283,                 0.8321,                0.63158,                0.75216,                0.49739,                 1.4205,                  1.112,                 1.3343,              0.0015512,              0.0015512,              0.0015512
                     70,                 1.5858,                 1.0521,                 1.3952,                0.94697,                0.94012,                0.93698,                0.54385,                  1.477,                0.95595,                 1.3173,              0.0015446,              0.0015446,              0.0015446
                     71,                 1.5181,                 1.0386,                 1.3438,                      1,                0.88777,                  0.898,                0.63638,                 1.1315,                0.78833,                 1.2174,               0.001538,               0.001538,               0.001538
                     72,                 1.5367,                 1.0312,                 1.3639,                      1,                0.88578,                0.91036,                0.65502,                 1.2056,                0.79217,                 1.2158,              0.0015314,              0.0015314,              0.0015314
                     73,                 1.4967,                0.99074,                 1.3709,                0.92323,                0.05263,                0.06618,                0.02536,                 3.7006,                 4.0794,                  2.702,              0.0015248,              0.0015248,              0.0015248
                     74,                 1.6498,                 1.0167,                 1.4182,                0.83854,                0.10526,                0.11891,                0.06336,                 3.0906,                 3.7087,                 2.2405,              0.0015182,              0.0015182,              0.0015182
                     75,                 1.6109,                0.99445,                 1.4239,                0.99385,                0.78947,                0.91781,                 0.6562,                 1.1514,                0.74751,                  1.209,              0.0015116,              0.0015116,              0.0015116
                     76,                 1.5257,                0.95257,                 1.3537,                0.99617,                0.78947,                0.88606,                0.56444,                 1.3534,                0.84048,                 1.2965,               0.001505,               0.001505,               0.001505
